Country Name,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Africa Eastern and Southern,9448941,9456064,9210431,8944861,7647879,7586399,7689663,8320103,8230267,5330910,3799708,3744324
Africa Western and Central,3741810,3367768,3164968,2941315,2925394,3055563,2943790,2871319,2652247,2531706,2277126,2148073
Angola,303179,281122,159485,208345,214950,287416,284925,304493,161070,171858,124726,119164
Burundi,31121,34972,30010,17394,21253,21669,21774,19540,23409,24810,20936,18300
Benin,127149,133427,152715,156715,159443,195662,194666,124883,56787,48508,35917,32386
Burkina Faso,152461,143963,141529,141358,137421,124595,75075,75727,76000,76760,75291,75039
Botswana,137422,137422,149578,160488,174165,169236,160490,142122,141207,142481,142587,139931
Central African Republic,3561,929,815,823,800,800,1881,1964,2104,2193,2200,2250
Cote d'Ivoire,282070,283343,276494,276135,272145,242684,277248,289108,305562,302398,271724,264073
Cameroon,435413,539504,668965,737445,799016,1156230,1050281,1051073,885762,902253,856411,883015
"Congo, Dem. Rep.",42320,41990,56970,59534,0,0,0,0,0,0,0,0
"Congo, Rep.",11600,13400,14200,14932,15679,16300,17000,17000,17000,17500,18000,18000
Comoros,30787,21210,23146,24000,23000,23500,14599,13049,17212,10320,10042,7573
Cabo Verde,71874,71971,74503,70220,66177,59621,63584,64724,64970,62680,57511,57668
Djibouti,16842,18474,18442,19955,20686,21912,22902,24925,36582,36855,37107,38866
Algeria,2576165,2922731,3059336,3289363,3132829,3098787,3267592,3404709,4100982,4200919,4635217,4784306
"Egypt, Arab Rep.",10312559,9618123,8714286,8557497,6820892,6315915,6235133,6118250,6604849,7865286,8760436,9858331
Eritrea,48473,54232,58473,60090,61935,64000,66000,66086,66170,67700,68500,70000
Ethiopia,915058,908882,829008,797501,761450,820000,890642,1147000,1181000,1199000,1199999,1387000
Gabon,36460,30381,22499,22611,19252,18498,18758,18946,21235,21818,22291,25428
Ghana,267389,277897,284721,284981,270422,260407,275570,251490,301551,278379,288531,307668
Guinea,22000,18000,18000,0,0,0,0,0,0,0,0,0
"Gambia, The",48451,48777,50450,64196,64196,55841,45000,37969,32040,44000,45000,46500
Guinea-Bissau,4844,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,10000,13537,14520,14868,14873,15110,11334,10989,11179,10848,11190,11250
Kenya,664099,380748,283546,251567,204354,179990,85496,72801,69861,65644,70394,66646
Liberia,2374,5806,9289,13734,11000,10040,9000,8000,10000,8543,9765,10050
Libya,1063265,1228300,1000000,814000,789000,914491,1063265,1374408,1576000,1670000,1780000,1890000
Lesotho,40000,38612,38579,50769,50345,49714,40570,41158,10637,8328,12949,11574
Morocco,3516281,3749364,3566076,3279054,2924861,2487738,2222370,2070173,2046390,2199140,2054545,2357286
Madagascar,186150,142065,138322,143227,145772,148555,148635,148585,68792,69046,74500,75643
Middle East & North Africa,63427820,63763793,65782339,66843009,65741570,58985880,63943768,65951891,67701946,66250315,66350421,69826627
Mali,84796,114546,104696,111979,126362,154417,169006,200812,214893,228097,242241,281638
Middle East & North Africa (excluding high income),52759204,53161564,54203940,54741591,53522015,51654014,52641056,54149953,55443283,53263392,53303441,56457874
Mozambique,82447,88062,88120,88140,77568,86856,89292,82421,80545,63006,80791,85678
Mauritania,74464,71572,72294,65069,53993,51432,51294,53191,57057,59959,61858,62099
Mauritius,375160,387700,374600,349100,363000,372200,380000,389500,413100,434300,458700,478700
Malawi,111333,152108,173481,227295,33569,18963,14462,11234,17337,14992,13101,12465
Namibia,148672,157063,159059,171249,183532,182593,182507,187853,193045,154816,142160,141334
Niger,76336,83383,85354,100537,100500,105300,110000,160848,114352,116876,117892,118000
Nigeria,1482000,1050237,719406,418166,360537,183290,187155,154513,139344,140491,107154,107031
Rwanda,33451,39664,38901,44363,45338,49612,16983,13403,12333,12960,11393,11671
Sudan,370423,544984,483617,424586,415571,415106,118954,136472,143280,136923,137842,129408
Senegal,278788,341857,346406,340019,343718,311945,300219,285933,290636,302243,207592,257654
Sierra Leone,32800,14000,16000,18000,16000,16500,17000,17000,17000,4352,476,189
Somalia,100000,100000,90000,70000,64000,57200,51000,48000,60000,74800,79000,80000
Sub-Saharan Africa (excluding high income),13164673,12801787,12347487,11865228,10551521,10620754,10612112,11170586,10862862,7842326,6056712,5873515
South Sudan,2600,2400,2200,150,0,0,0,0,0,0,0,0
Sub-Saharan Africa,13190751,12823832,12375399,11886176,10573273,10641962,10633453,11191422,10882514,7862616,6076834,5892397
Sao Tome and Principe,7694,7804,7960,8035,6976,6800,6441,5733,5569,5299,4784,2720
Eswatini,45162,52966,75825,45565,46000,44400,43000,42000,41000,41550,42560,45000
Seychelles,26078,22045,27912,20948,21752,21208,21341,20836,19652,20290,20122,18882
Chad,58267,51227,31839,27937,31323,23580,17029,13332,8664,9036,6524,5340
Togo,178713,60011,60273,61590,62537,53311,52690,33817,36111,37691,43605,46499
Middle East & North Africa (IDA & IBRD countries),52390988,52801162,53821240,54347711,53118990,51250896,52234556,53717953,54967044,52793651,52836252,55991591
Sub-Saharan Africa (IDA & IBRD countries),13190751,12823832,12375399,11886176,10573273,10641962,10633453,11191422,10882514,7862616,6076834,5892397
Tunisia,1278548,1289585,1217781,1098893,1021979,949395,943642,974129,1113168,1302015,1454183,1533273
Tanzania,172922,174511,161063,176367,164999,151274,142819,129597,127094,124238,76288,72469
Uganda,233533,327114,464849,314956,272844,324442,328811,368243,262286,82066,85710,90774
South Africa,4868000,4861000,4854000,4847000,3875582,3647770,4131055,4522850,4810074,3345440,2024730,2098802
Zambia,90341,118388,85727,82542,115762,114420,116165,101407,101444,100444,96719,71844
Zimbabwe,385116,379000,356000,301650,304162,329475,333702,305720,264150,268849,265734,252067
